X,Y,Z,GFP,Snap25_1,Nfib,Phox2b,Gal,Snap25_2,Tac1,Pde1a,Fxyd6,Nrp2,Snap25_3,Vip,Penk,Erbb4,Dlk1,Snap25_5,Pcp4,Chrm2,Pvalb,Sst,Snap25_6,Cartpt,Zfhx3,Meis2,Slc17a6
551,1176,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1
886,1148,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1
1220,1151,4,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1
1375,1414,2,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1
1794,1172,2,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0
1883,1117,2,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1
1993,1229,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1571,1855,4,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1
1789,1246,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,1115,4,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
1247,1171,3,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
1368,2019,3,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1
1370,1492,4,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1450,1772,5,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1652,1302,3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
1762,1421,4,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1
1803,1491,3,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1
1082,1391,5,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0
1091,1547,5,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
1821,689,4,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
813,1169,9,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0
1337,1895,5,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
1429,1402,6,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
1784,1187,6,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
768,1167,8,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
1500,1608,7,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1745,1259,7,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1856,1280,18,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
